"Nome ",ID,Группа,Дата Последней Котировки,Дата стоимости,Ед. Измерения,Категория,"Название RU ",Название RU [AI],Последний Поставщик,Последняя Котировка,Поставщик / Подрядчик,Поставщики,Создано,Стоимость,💯 Котировки поставщиков
"Betão C12/15 X0(P) Cl 1,0 Dmáx 22 mm S4",M-CON-001,,30/09/2025,"October 6, 2025 11:30 AM",m3,Бетон,,"Бетон C12/15 X0(P) Cl 1,0 Dмакс 22 мм S4",Sesil Betão,€82.80,Sesil Betão (https://www.notion.so/Sesil-Bet-o-c99eadf62a8747da8814aa95c31c1301?pvs=21),"https://www.notion.so/c99eadf62a8747da8814aa95c31c1301,https://www.notion.so/c99eadf62a8747da8814aa95c31c1301","September 24, 2025 5:52 PM",€82.80,"C12/15 X0(P) Cl0,4 D22 S3 — Sesil Betão — 82.8 €/м3 — 30.09.2025 (https://www.notion.so/C12-15-X0-P-Cl0-4-D22-S3-Sesil-Bet-o-82-8-3-30-09-2025-f7bc1cc7e75f48b59ed85d7b7200614b?pvs=21), C12/15 X0(P) Cl0,4 D22 S3 — Sesil Betão — 82,80 €/m3 — 26.09.2025 (https://www.notion.so/C12-15-X0-P-Cl0-4-D22-S3-Sesil-Bet-o-82-80-m3-26-09-2025-e1587f4c58404f148d16f4b9f0339242?pvs=21)"
"Betão C16/20 X0(P) Cl0,40 Dmáx 15 mm S2",M-CON-002,,,"October 6, 2025 11:30 AM",m3,Бетон,,"Бетон C16/20 X0(P) Cl0,40 Dmáx 15 мм S2",,,Sesil Betão (https://www.notion.so/Sesil-Bet-o-c99eadf62a8747da8814aa95c31c1301?pvs=21),,"September 24, 2025 5:54 PM",€87.86,
"Betão C30/37 XC2(P) Cl0,40 Dmáx 22 mm S4",M-CON-004,,,"October 6, 2025 11:30 AM",m3,Бетон,,"Бетон C30/37 XC2(P) Cl0,40 Dмакс 22 мм S4",,,Sesil Betão (https://www.notion.so/Sesil-Bet-o-c99eadf62a8747da8814aa95c31c1301?pvs=21),,"September 24, 2025 5:54 PM",€98.42,
"Betão C40/50 XS1(P) Cl0,20 Dmáx 16 mm S4",M-CON-005,,03/10/2025,"October 3, 2025 6:05 PM",m3,Бетон,,"Бетон C40/50 XS1(P) Cl0,20 Dmáx 16 мм S4",,€110.00,,,"September 24, 2025 5:54 PM",€110.00,"Betão C40/50 XS1(P) Cl0,20 Dmáx 16 mm S4 — 110 €/м3 — 03.10.2025 (https://www.notion.so/Bet-o-C40-50-XS1-P-Cl0-20-Dm-x-16-mm-S4-110-3-03-10-2025-ab43e77ca0a04c6e9dfe42bf7cfa686b?pvs=21)"
Арматура диаметром 10 мм A500NR SD,M-CON-013,,,"October 6, 2025 11:38 AM",kg,,,Арматура диаметром 10 мм (A500NR SD),,,"Metalofarense - Produtos Siderúrgicos, S.A. (https://www.notion.so/Metalofarense-Produtos-Sider-rgicos-S-A-1fa18f663873803cac6ee0fb88b6fb55?pvs=21)",,"September 24, 2025 5:54 PM",€0.69,
Арматура диаметром 16 мм A500NR SD,M-CON-015,,,"October 6, 2025 11:38 AM",kg,,,Арматура диаметром 16 мм (A500NR SD),,,"Metalofarense - Produtos Siderúrgicos, S.A. (https://www.notion.so/Metalofarense-Produtos-Sider-rgicos-S-A-1fa18f663873803cac6ee0fb88b6fb55?pvs=21)",,"September 24, 2025 5:55 PM",€0.73,
Арматура диаметром 8 мм A500NR SD,M-CON-014,,,"October 6, 2025 11:38 AM",kg,,,Арматура диаметром 8 мм (A500NR SD),,,"Metalofarense - Produtos Siderúrgicos, S.A. (https://www.notion.so/Metalofarense-Produtos-Sider-rgicos-S-A-1fa18f663873803cac6ee0fb88b6fb55?pvs=21)",,"September 24, 2025 5:55 PM",€0.73,
"Rodas de corte para metal, diâmetro 230 mm",M-CON-022,,,"October 6, 2025 2:14 PM",,Режущие инструменты,Круги отрезные по металлу диаметром 230мм,Круги отрезные по металлу диаметром 230мм (M-CON-022),,,,,"September 24, 2025 5:55 PM",€1.50,
Круги отрезные по дереву диаметром 180мм,M-CON-023,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.20,
Деревянные щиты опалубки,M-CON-030,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Гвозди,M-CON-031,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.00,
Металоконструкції колон,M-CON-050,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.75,
Металоконструкції балок,M-CON-051,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.75,
Профіль метвлевий,M-CON-052,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.75,
Кирпич размером 30х20х20см,M-BRK-001,,,"September 30, 2025 7:27 PM",,,,Кирпич размером 30х20х20см,,,Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21),,"September 24, 2025 5:55 PM",€0.72,
Кирпич размером 30х20х15см,M-BRK-002,,,"September 30, 2025 7:28 PM",,,,Кирпич размером 30х20х15см,,,Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21),,"September 24, 2025 5:55 PM",€0.46,
Кирпич размером 30х20х11см,M-BRK-003,,,"September 30, 2025 7:27 PM",,,,Кирпич размером 30х20х11см,,,Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21),,"September 24, 2025 5:55 PM",€0.27,
Кирпич размером 30х20х7см,M-BRK-008,,,"September 30, 2025 7:33 PM",,,,Кирпич размером 30х20х7см,,,Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21),,"September 24, 2025 5:55 PM",€0.27,
Блоки бетонні розміром 50x20x20см,M-BRK-004,,06/10/2025,"September 24, 2025 5:55 PM",,Блоки,,Блоки бетонные размером 50x20x20см,,€1.37,,,"September 24, 2025 5:55 PM",€1.37,"Блок 50×20×20 см — 0,70 €/Шт — 06.10.2025 (https://www.notion.so/50-20-20-0-70-06-10-2025-23a356bc63c44b34b0c479f850623c27?pvs=21)"
Блоки бетонні розміром 50x20x15см,M-BRK-005,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.70,
Блоки бетонні розміром 50x20x25см,M-BRK-006,,06/10/2025,"October 6, 2025 12:46 PM",un,Блоки,,Блоки бетонные размером 50x20x25см,,€1.37,,,"September 24, 2025 5:55 PM",€1.53,"Блок 50×20×25 см — 1,37 €/Шт — 06.10.2025 (https://www.notion.so/50-20-25-1-37-06-10-2025-8b5de9579d7b4ca58d48508a5f7910c9?pvs=21)"
Песок для раствора для кладки,M-BRK-026,,,"September 30, 2025 7:33 PM",,,,Песок для раствора для кладки,,,JAM (https://www.notion.so/JAM-041d164e8f5646819436760298fa7c2e?pvs=21),,"September 24, 2025 5:55 PM",€43.75,
Руберойд POLYPLAS 30,M-ROF-004,,,"September 30, 2025 7:28 PM",,,,Руберойд POLYPLAS 30,,,Leroy Marlin (https://www.notion.so/Leroy-Marlin-62eea2d7001041c18d895f2cf3e27772?pvs=21),,"September 24, 2025 5:55 PM",€3.25,
Руберойд POLYXIS R40,M-ROF-008,,,"October 3, 2025 5:32 PM",,,,Руберойд POLYXIS R40,,,,,"September 24, 2025 5:55 PM",€6.90,
Гідроиізоляційна мембрана RHENOFOL CV,M-ROF-015,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Оцинковані листи для покрівлі,M-ROF-016,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€14.18,
Геотекстиль IMPERSEP 200,M-ROF-005,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.82,
Геотекстиль IMPERSEP 150,M-ROF-0010,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.70,
Бітумна емульсія Imperkote L,M-ROF-006,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.22,
Бітумна емульсія Imperkote F,M-ROF-007,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€2.25,
Газ пропан-бутан в баллонах 40л,M-IMP-002,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€70.00,
Гидроизоляция Weber.tec 824,M-IMP-006,,,"September 30, 2025 7:27 PM",,,,Гидроизоляция Weber.tec 824,,,Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21),,"September 24, 2025 5:55 PM",€2.54,
Щебень №2,M-IMP-015,,,"September 30, 2025 7:33 PM",,,,Щебень №2,,,JAM (https://www.notion.so/JAM-041d164e8f5646819436760298fa7c2e?pvs=21),,"September 24, 2025 5:55 PM",€23.90,
Гравій №2,M-IMP-020,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€23.90,
Соснова кора,M-IMP-021,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€200.00,
Праймер битумный,M-IMP-018,,,"September 30, 2025 7:33 PM",,,,Праймер битумный,,,Redecor Algarve (https://www.notion.so/Redecor-Algarve-242a9de243e84a1582ca7632cff3551e?pvs=21),,"September 24, 2025 5:55 PM",€1.59,
Экструдированный пенополистирол толщиной 80мм,M-TER-002,,,"September 30, 2025 7:33 PM",,,,Экструдированный пенополистирол толщиной 80мм,,,,,"September 24, 2025 5:55 PM",€9.32,
Экструдированный пенополистирол толщиной 150мм,M-TER-004,,,"September 30, 2025 7:27 PM",,,,Экструдированный пенополистирол толщиной 150мм,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€12.51,
Мінеральна вата товщиною 170мм,M-TER-010,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€6.00,
Дюбели для пенопласта,M-TER-005,,,"September 30, 2025 7:27 PM",,,,Дюбели для пенопласта,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€0.34,
Клей для пенопласта,M-TER-006,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.62,
Клей для плитки Weber.col flex M,M-FIN-001,,,"September 30, 2025 7:28 PM",,,,Клей для плитки Weber.col flex M,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€0.96,
Затирка для плитки Weber Premium,M-FIN-007,,,"September 30, 2025 7:27 PM",,,,Затирка для плитки Weber Premium,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€1.49,
Система выравнивания плитки СВП (300шт),M-FIN-008,,,"September 30, 2025 7:27 PM",,,,Система выравнивания плитки СВП (300шт),,,Sulcave (https://www.notion.so/Sulcave-cdde467eb42942a196007d6e6e51bb78?pvs=21),,"September 24, 2025 5:55 PM",€13.80,
Террасные доски,M-FIN-025,,,"September 30, 2025 7:27 PM",,,,Террасные доски,,,Silmadeiras (https://www.notion.so/Silmadeiras-f0d07ecf0bf648c9866b1121bfa0f4e0?pvs=21),,"September 24, 2025 5:55 PM",€65.00,
